State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
GA,South,South Atlantic,Appling County,13001,13001,Region 15,1/1/2014,11116.0,0.239,6.0,4.5,0.11,0.278,0.343,6.938,0.324,0.144,,0.333,390.9,91.4,0.252,49.0,11.0,27.0,111.46,0.82,0.54,0.61,0.373,0.103,0.348,,0.351,,211.08,116.4,12.63,0.0,0.107,0.781,0.265,18368,0.013,0.714,0.14,105.3,549.1,11.4,90.0,0.182,0.058,40.56,,0.305,0.128,9763.0,0.242,71.0,35757,0.588,9.54,
GA,South,South Atlantic,Appling County,13001,13001,Region 15,1/1/2015,11232.0,0.239,6.0,4.5,0.1,0.278,0.347,6.8,0.293,0.338,,0.333,408.3,91.1,0.242,49.0,11.0,38.0,103.44,0.79,0.53,0.72,0.367,0.1,0.403,5.14,0.386,15.244,186.02,104.1,12.63,0.0,0.102,0.789,0.226,18440,0.014,0.714,0.151,105.3,525.6,,96.3,0.173,0.058,38.58,8.66,0.302,0.104,10563.0,0.242,76.0,36915,0.601,12.6,
GA,South,South Atlantic,Atkinson County,13003,13003,Region 24,1/1/2014,10394.0,0.296,6.3,,0.07,,0.308,5.773,0.301,0.001,,0.182,404.1,91.6,0.34,,12.0,,194.05,0.78,0.49,0.775,0.27,0.134,0.384,,0.354,,424.28,69.6,12.38,0.0,0.156,0.756,0.312,8284,0.076,1.0,0.11,256.5,523.5,,,0.214,0.109,38.09,,0.416,0.183,10290.0,,12.0,28693,0.674,,
GA,South,South Atlantic,Atkinson County,13003,13003,Region 24,1/1/2015,11413.0,0.296,6.3,,0.08,,0.342,5.5,0.317,0.353,,0.222,446.6,90.2,0.304,,12.0,,118.75,0.79,0.48,0.775,0.292,0.11,0.384,5.676,0.364,7.243,424.28,86.1,12.38,0.0,0.168,0.752,0.313,8290,0.079,1.0,0.113,256.5,548.8,,,0.206,0.109,35.98,,0.383,0.141,10454.0,,12.0,30883,0.743,,
GA,South,South Atlantic,Bacon County,13005,13005,Region 1,1/1/2014,10792.0,0.132,4.2,,0.1,,0.308,7.459,0.334,0.291,,0.333,455.2,91.6,0.267,45.0,26.0,9.0,136.3,0.83,0.55,0.775,0.336,0.098,0.338,,0.257,,,116.6,12.56,0.0,0.13,0.76,0.262,11198,0.012,0.693,0.111,374.2,528.7,,,0.172,0.027,43.59,,0.328,0.125,12040.0,,36.0,32460,0.529,,0.153
GA,South,South Atlantic,Bacon County,13005,13005,Region 1,1/1/2015,10997.0,0.132,4.2,,0.09,,0.318,7.3,0.321,0.607,,0.273,392.9,93.3,0.252,45.0,18.0,9.0,125.03,0.81,0.5,0.725,0.41,0.083,0.365,6.461,0.336,9.823,,102.5,12.56,0.0,0.115,0.761,0.249,11216,0.022,0.693,0.11,374.2,554.8,,,0.165,0.027,40.12,12.94,0.316,0.109,11745.0,,36.0,33781,0.569,,
GA,South,South Atlantic,Baker County,13007,13007,Insuff Data,1/1/2014,9015.0,,,,0.11,,0.326,1.882,0.294,0.058,,0.429,680.7,41.3,0.194,,0.0,,,0.6,0.59,,0.446,0.087,0.415,,0.708,,,,12.16,0.0,0.265,0.8,0.409,3366,0.0,1.0,0.144,1356.2,394.4,,,0.24,0.435,,,0.233,0.089,8970.0,,59.0,30042,0.798,,
GA,South,South Atlantic,Baker County,13007,13007,Insuff Data,1/1/2015,6913.0,,,,0.13,,0.319,1.3,0.292,0.058,,0.4,653.6,45.3,0.199,,0.0,,,0.83,,,0.462,0.078,0.432,6.506,0.566,5.942,224.5,,12.16,0.0,0.226,0.856,0.435,3341,0.0,1.0,0.144,1356.2,324.7,,,0.241,0.435,,,0.242,0.087,9011.0,,60.0,37135,0.804,,
GA,South,South Atlantic,Baldwin County,13009,13009,Region 24,1/1/2014,7889.0,0.29,5.0,4.7,0.11,0.241,0.32,5.379,0.292,0.419,0.148,0.172,709.2,32.3,0.191,70.0,35.0,79.0,64.65,0.87,0.64,0.68,0.485,0.12,0.367,,0.553,,633.4,49.5,12.94,0.0,0.187,0.797,0.225,46367,0.009,0.351,0.113,594.6,431.4,8.3,61.1,0.246,0.086,13.16,7.96,0.228,0.083,9866.0,0.216,56.0,35412,0.664,7.65,
GA,South,South Atlantic,Baldwin County,13009,13009,Region 24,1/1/2015,7898.0,0.29,5.0,4.7,0.11,0.241,0.318,5.1,0.292,0.703,0.148,0.207,582.3,30.3,0.188,60.0,39.0,124.0,65.05,0.84,0.66,0.63,0.494,0.112,0.402,6.365,0.545,8.842,504.63,43.2,12.94,0.262,0.193,0.823,0.227,46039,0.008,0.351,0.116,594.6,409.7,5.8,48.8,0.234,0.086,12.6,6.15,0.226,0.078,10444.0,0.216,63.0,35815,0.674,7.0,
GA,South,South Atlantic,Banks County,13011,13011,Region 24,1/1/2014,8052.0,0.16,3.9,,0.1,0.275,0.282,8.421,0.271,0.337,,0.2,87.7,49.0,0.244,11.0,5.0,,62.69,0.82,0.48,0.77,0.409,0.066,0.269,,0.25,,353.78,81.9,13.33,0.0,0.208,0.796,0.431,18316,0.017,0.938,0.108,271.7,402.2,,64.9,0.119,0.036,26.2,11.46,0.293,0.124,9091.0,,16.0,43102,0.572,,
GA,South,South Atlantic,Banks County,13011,13011,Region 24,1/1/2015,8927.0,0.16,3.9,,0.09,0.275,0.281,8.1,0.295,0.422,,0.238,196.5,45.5,0.233,11.0,5.0,,77.48,0.82,0.56,0.825,0.385,0.063,0.274,4.43,0.287,9.827,230.72,87.8,13.33,0.0,0.213,0.816,0.462,18415,0.015,0.938,0.113,271.7,404.3,,,0.125,0.036,27.04,16.7,0.284,0.107,10098.0,,22.0,42495,0.668,,
GA,South,South Atlantic,Barrow County,13013,13013,Region 24,1/1/2014,7971.0,0.178,3.6,4.3,0.08,0.261,0.322,7.906,0.307,0.614,0.154,0.127,283.2,46.4,0.226,26.0,20.0,9.0,82.82,0.87,0.63,0.64,0.531,0.084,0.204,,0.285,,460.83,76.9,13.27,0.003,0.153,0.829,0.538,70169,0.024,0.301,0.116,133.8,410.8,5.9,53.2,0.134,0.057,25.43,14.85,0.278,0.113,9934.0,0.155,13.0,49608,0.513,4.95,0.199
GA,South,South Atlantic,Barrow County,13013,13013,Region 24,1/1/2015,7728.0,0.178,3.6,4.3,0.08,0.261,0.329,7.7,0.308,0.623,0.154,0.255,306.4,45.0,0.215,24.0,22.0,17.0,78.42,0.88,0.57,0.68,0.545,0.074,0.205,3.548,0.27,7.411,482.16,70.9,13.27,0.096,0.164,0.847,0.547,71453,0.025,0.301,0.112,133.8,426.0,5.4,39.8,0.132,0.057,22.69,15.48,0.269,0.097,10151.0,0.155,17.0,54668,0.486,4.1,
GA,South,South Atlantic,Bartow County,13015,13015,Region 24,1/1/2014,8225.0,0.191,4.1,4.6,0.08,0.213,0.294,6.981,0.269,0.628,0.134,0.131,250.9,58.7,0.235,38.0,30.0,45.0,73.13,0.86,0.62,0.68,0.448,0.092,0.239,,0.312,,322.27,70.2,13.19,0.16,0.144,0.849,0.379,100661,0.023,0.352,0.114,189.5,430.8,6.3,51.4,0.15,0.116,19.09,13.23,0.292,0.103,10323.0,0.2,46.0,46693,0.506,3.61,0.187
GA,South,South Atlantic,Bartow County,13015,13015,Region 24,1/1/2015,8403.0,0.191,4.1,4.6,0.08,0.213,0.316,6.7,0.261,0.821,0.134,0.158,282.1,54.3,0.204,44.0,29.0,85.0,64.62,0.87,0.64,0.707,0.462,0.082,0.254,4.194,0.325,7.55,359.79,70.3,13.19,0.001,0.145,0.844,0.383,101273,0.018,0.352,0.108,189.5,419.9,6.8,52.8,0.149,0.116,16.86,14.82,0.255,0.088,10606.0,0.2,49.0,46330,0.507,4.2,
GA,South,South Atlantic,Ben Hill County,13017,13017,Insuff Data,1/1/2014,9595.0,0.276,4.9,3.7,0.16,0.233,0.334,5.162,0.326,0.018,,0.0,690.3,104.7,0.236,68.0,34.0,17.0,100.7,0.8,0.57,0.65,0.455,0.129,0.449,,0.478,,,57.9,12.47,0.0,0.201,0.786,0.153,17538,0.009,0.34,0.143,285.2,519.6,12.2,90.2,0.238,0.122,17.96,,0.297,0.1,10467.0,0.255,34.0,29155,0.732,8.16,0.265
GA,South,South Atlantic,Ben Hill County,13017,13017,Insuff Data,1/1/2015,8996.0,0.276,4.9,3.7,0.15,0.233,0.35,4.7,0.322,0.434,,0.111,752.7,97.0,0.204,51.0,34.0,23.0,112.67,0.8,0.56,0.725,0.456,0.111,0.44,5.552,0.502,7.412,498.26,61.3,12.47,0.0,0.215,0.801,0.137,17515,0.006,0.34,0.144,285.2,505.3,9.3,75.1,0.237,0.122,16.21,,0.265,0.071,9633.0,0.255,40.0,30090,0.715,,
GA,South,South Atlantic,Berrien County,13019,13019,Insuff Data,1/1/2014,8485.0,0.298,5.8,3.8,0.1,0.296,0.301,6.88,0.309,0.149,0.13,0.364,304.6,79.3,0.256,21.0,15.0,10.0,107.82,0.84,0.57,0.67,0.545,0.102,0.359,,0.32,,282.36,77.0,12.27,0.0,0.166,0.8,0.35,19041,0.015,0.761,0.118,271.5,442.6,10.6,66.6,0.183,0.062,27.2,,0.317,0.108,10357.0,0.304,16.0,32955,0.605,,0.257
GA,South,South Atlantic,Berrien County,13019,13019,Insuff Data,1/1/2015,9404.0,0.298,5.8,3.8,0.1,0.296,0.324,6.7,0.344,0.426,0.13,0.462,262.6,74.0,0.23,16.0,16.0,21.0,128.47,0.84,0.58,0.7,0.575,0.094,0.354,4.768,0.308,8.928,263.26,65.9,12.27,0.0,0.15,0.803,0.359,19048,0.018,0.761,0.123,271.5,485.7,10.1,82.6,0.175,0.062,22.74,,0.288,0.088,11855.0,0.304,21.0,37903,0.584,,
GA,South,South Atlantic,Bibb County,13021,13021,Region 24,1/1/2014,11183.0,0.161,3.1,3.6,0.14,0.167,0.303,5.784,0.269,0.612,0.102,0.23,1052.8,62.8,0.197,115.0,50.0,73.0,69.41,0.83,0.69,0.51,0.567,0.098,0.414,,0.521,,566.33,75.7,12.93,0.0,0.202,0.83,0.204,156462,0.011,0.144,0.121,718.2,538.5,13.9,108.8,0.23,0.077,17.93,10.07,0.249,0.078,10165.0,0.14,105.0,36198,0.721,15.43,0.261
GA,South,South Atlantic,Bibb County,13021,13021,Region 24,1/1/2015,11125.0,0.161,3.1,3.6,0.13,0.167,0.286,5.4,0.276,0.778,0.102,0.219,894.1,60.9,0.196,116.0,56.0,148.0,67.8,0.83,0.69,0.519,0.558,0.088,0.446,5.868,0.541,13.997,544.86,72.4,12.93,0.0,0.221,0.831,0.212,154721,0.011,0.144,0.109,718.2,551.3,13.1,92.4,0.225,0.077,17.48,9.11,0.248,0.075,10440.0,0.14,120.0,36816,0.736,13.9,
GA,South,South Atlantic,Bleckley County,13023,13023,Region 24,1/1/2014,10304.0,0.205,4.7,3.8,0.12,0.197,0.301,6.816,0.287,0.091,,0.214,684.7,29.7,0.182,38.0,14.0,,80.29,0.88,0.65,0.72,0.447,0.135,0.31,,0.404,,299.68,75.8,12.75,0.143,0.118,0.808,0.398,12913,0.005,0.516,0.123,361.6,508.2,,,0.204,0.028,22.52,,0.223,0.085,10142.0,,46.0,40922,0.504,,0.15
GA,South,South Atlantic,Bleckley County,13023,13023,Region 24,1/1/2015,10244.0,0.205,4.7,3.8,0.1,0.197,0.315,6.6,0.274,0.766,,0.167,549.8,30.1,0.178,31.0,16.0,,70.77,0.9,0.64,0.825,0.495,0.15,0.287,6.707,0.475,13.939,234.08,87.3,12.75,0.168,0.139,0.788,0.486,12771,0.002,0.516,0.139,361.6,512.6,,,0.196,0.028,23.11,,0.221,0.076,10382.0,,47.0,40369,0.5,,
GA,South,South Atlantic,Brantley County,13025,13025,Region 15,1/1/2014,11052.0,0.242,5.2,4.2,0.07,0.241,0.31,7.569,0.265,0.319,,0.25,245.0,54.2,0.247,16.0,,,143.17,0.81,0.52,0.6,0.386,0.111,0.33,,0.324,,279.45,97.5,12.61,0.0,0.133,0.835,0.578,18587,0.002,0.994,0.109,155.1,561.6,,83.9,0.152,0.055,33.89,20.66,0.303,0.116,12439.0,0.156,5.0,36303,0.552,9.92,0.22
GA,South,South Atlantic,Brantley County,13025,13025,Region 15,1/1/2015,10188.0,0.242,5.2,4.2,0.07,0.241,0.318,7.2,0.251,0.393,,0.235,333.6,58.8,0.239,16.0,,,103.15,0.81,0.59,0.62,0.37,0.095,0.345,4.632,0.358,6.994,221.12,91.1,12.61,0.0,0.094,0.843,0.585,18292,0.002,0.994,0.111,155.1,512.4,,61.9,0.154,0.055,39.14,21.57,0.294,0.109,11564.0,0.156,5.0,36758,0.551,8.6,
GA,South,South Atlantic,Brooks County,13027,13027,Region 24,1/1/2014,7935.0,0.185,4.4,4.8,0.12,0.217,0.333,7.114,0.313,0.18,,0.308,560.1,71.2,0.25,19.0,6.0,6.0,63.31,0.84,0.61,0.6,0.417,0.086,0.396,,0.419,,856.4,74.6,12.05,0.006,0.153,0.762,0.288,15403,0.025,0.71,0.148,782.5,402.6,,69.9,0.183,0.039,28.95,,0.302,0.118,9393.0,0.266,58.0,32176,0.74,,0.31
