Year,County,Food environment index
1/1/2015,Appling County,6.8
1/1/2014,Atkinson County,5.773
1/1/2015,Atkinson County,5.5
1/1/2014,Bacon County,7.459
1/1/2015,Bacon County,7.3
1/1/2014,Baker County,1.882
1/1/2015,Baker County,1.3
1/1/2014,Baldwin County,5.379
1/1/2015,Baldwin County,5.1
1/1/2014,Banks County,8.421
1/1/2015,Banks County,8.1
1/1/2014,Barrow County,7.906
1/1/2015,Barrow County,7.7
1/1/2014,Bartow County,6.981
1/1/2015,Bartow County,6.7
1/1/2014,Ben Hill County,5.162
1/1/2015,Ben Hill County,4.7
1/1/2014,Berrien County,6.88
1/1/2015,Berrien County,6.7
1/1/2014,Bibb County,5.784
1/1/2015,Bibb County,5.4
1/1/2014,Bleckley County,6.816
1/1/2015,Bleckley County,6.6
1/1/2014,Brantley County,7.569
1/1/2015,Brantley County,7.2
1/1/2014,Brooks County,7.114
1/1/2015,Brooks County,6.6
1/1/2014,Bryan County,8.38
1/1/2015,Bryan County,8.0
1/1/2014,Bulloch County,5.71
1/1/2015,Bulloch County,5.2
1/1/2014,Burke County,5.94
1/1/2015,Burke County,5.5
1/1/2014,Butts County,7.695
1/1/2015,Butts County,7.5
1/1/2014,Calhoun County,5.182
1/1/2015,Calhoun County,4.9
1/1/2014,Camden County,6.799
1/1/2015,Camden County,6.4
1/1/2014,Candler County,7.233
1/1/2015,Candler County,6.8
1/1/2014,Carroll County,6.655
1/1/2015,Carroll County,6.4
1/1/2014,Catoosa County,7.711
1/1/2015,Catoosa County,7.4
1/1/2014,Charlton County,6.777
1/1/2015,Charlton County,6.5
1/1/2014,Chatham County,6.636
1/1/2015,Chatham County,6.3
1/1/2014,Chattahoochee County,4.119
1/1/2015,Chattahoochee County,3.7
1/1/2014,Chattooga County,7.463
1/1/2015,Chattooga County,7.0
1/1/2014,Cherokee County,8.499
1/1/2015,Cherokee County,8.3
1/1/2014,Clarke County,4.59
1/1/2015,Clarke County,4.2
1/1/2014,Clay County,5.778
1/1/2015,Clay County,5.1
1/1/2014,Clayton County,4.91
1/1/2015,Clayton County,4.6
1/1/2014,Clinch County,6.635
1/1/2015,Clinch County,6.6
1/1/2014,Cobb County,7.325
1/1/2015,Cobb County,7.1
1/1/2014,Coffee County,6.092
1/1/2015,Coffee County,5.9
1/1/2014,Colquitt County,6.635
1/1/2015,Colquitt County,6.4
1/1/2014,Columbia County,8.788
1/1/2015,Columbia County,8.4
1/1/2014,Cook County,6.601
1/1/2015,Cook County,6.4
1/1/2014,Coweta County,7.771
1/1/2015,Coweta County,7.5
1/1/2014,Crawford County,7.757
1/1/2015,Crawford County,7.5
1/1/2014,Crisp County,4.259
1/1/2015,Crisp County,3.9
1/1/2014,Dade County,8.614
1/1/2015,Dade County,8.2
1/1/2014,Dawson County,8.818
1/1/2015,Dawson County,8.5
1/1/2014,DeKalb County,6.004
1/1/2015,DeKalb County,5.8
1/1/2014,Decatur County,5.743
1/1/2015,Decatur County,5.5
1/1/2014,Dodge County,7.124
1/1/2015,Dodge County,6.9
1/1/2014,Dooly County,4.572
1/1/2015,Dooly County,4.4
1/1/2014,Dougherty County,3.561
1/1/2015,Dougherty County,3.2
1/1/2014,Douglas County,6.68
1/1/2015,Douglas County,6.4
1/1/2014,Early County,6.032
1/1/2015,Early County,5.8
1/1/2014,Echols County,7.502
1/1/2015,Echols County,7.4
1/1/2014,Effingham County,8.224
1/1/2015,Effingham County,8.0
1/1/2014,Elbert County,6.084
1/1/2015,Elbert County,6.1
1/1/2014,Emanuel County,5.358
1/1/2015,Emanuel County,4.9
1/1/2014,Evans County,7.364
1/1/2015,Evans County,6.8
1/1/2014,Fannin County,8.415
1/1/2015,Fannin County,8.0
1/1/2014,Fayette County,8.273
1/1/2015,Fayette County,8.0
1/1/2014,Floyd County,6.754
1/1/2015,Floyd County,6.4
1/1/2014,Forsyth County,9.119
1/1/2015,Forsyth County,9.0
1/1/2014,Franklin County,7.736
1/1/2015,Franklin County,7.3
1/1/2014,Fulton County,6.378
1/1/2015,Fulton County,6.2
1/1/2014,Gilmer County,7.907
1/1/2015,Gilmer County,7.6
1/1/2014,Glascock County,4.659
1/1/2015,Glascock County,4.2
1/1/2014,Glynn County,6.71
1/1/2015,Glynn County,6.4
1/1/2014,Gordon County,7.426
1/1/2015,Gordon County,7.2
1/1/2014,Grady County,6.787
1/1/2015,Grady County,6.4
1/1/2014,Greene County,7.087
1/1/2015,Greene County,6.9
1/1/2014,Gwinnett County,7.565
1/1/2015,Gwinnett County,7.3
1/1/2014,Habersham County,7.236
1/1/2015,Habersham County,7.1
1/1/2014,Hall County,7.613
1/1/2015,Hall County,7.4
1/1/2014,Hancock County,3.331
1/1/2015,Hancock County,3.1
1/1/2014,Haralson County,7.894
1/1/2015,Haralson County,7.4
1/1/2014,Harris County,9.117
1/1/2015,Harris County,8.7
1/1/2014,Hart County,7.503
1/1/2015,Hart County,7.0
1/1/2014,Heard County,7.548
1/1/2015,Heard County,7.2
1/1/2014,Henry County,7.338
1/1/2015,Henry County,7.0
1/1/2014,Houston County,7.166
1/1/2015,Houston County,6.7
1/1/2014,Irwin County,7.067
1/1/2015,Irwin County,6.7
1/1/2014,Jackson County,8.431
1/1/2015,Jackson County,8.2
1/1/2014,Jasper County,7.476
1/1/2015,Jasper County,7.2
1/1/2014,Jeff Davis County,6.612
1/1/2015,Jeff Davis County,6.3
1/1/2014,Jefferson County,6.066
1/1/2015,Jefferson County,5.5
1/1/2014,Jenkins County,5.284
1/1/2015,Jenkins County,5.1
1/1/2014,Johnson County,6.058
1/1/2015,Johnson County,6.0
1/1/2014,Jones County,7.877
1/1/2015,Jones County,7.6
1/1/2014,Lamar County,6.972
1/1/2015,Lamar County,6.8
1/1/2014,Lanier County,7.45
1/1/2015,Lanier County,7.1
1/1/2014,Laurens County,6.443
1/1/2015,Laurens County,6.1
1/1/2014,Lee County,8.186
1/1/2015,Lee County,7.8
1/1/2014,Liberty County,5.221
1/1/2015,Liberty County,4.9
1/1/2014,Lincoln County,7.018
1/1/2015,Lincoln County,6.6
1/1/2014,Long County,7.285
1/1/2015,Long County,6.9
1/1/2014,Lowndes County,6.219
1/1/2015,Lowndes County,5.8
1/1/2014,Lumpkin County,8.24
1/1/2015,Lumpkin County,7.9
1/1/2014,Macon County,4.98
1/1/2015,Macon County,4.6
1/1/2014,Madison County,8.338
1/1/2015,Madison County,8.0
1/1/2014,Marion County,3.325
1/1/2015,Marion County,2.8
1/1/2014,McDuffie County,6.627
1/1/2015,McDuffie County,6.3
1/1/2014,McIntosh County,7.285
1/1/2015,McIntosh County,7.0
1/1/2014,Meriwether County,6.862
1/1/2015,Meriwether County,6.8
1/1/2014,Miller County,7.818
1/1/2015,Miller County,7.2
1/1/2014,Mitchell County,5.893
1/1/2015,Mitchell County,5.5
1/1/2014,Monroe County,7.85
1/1/2015,Monroe County,7.5
1/1/2014,Montgomery County,6.813
1/1/2015,Montgomery County,6.4
1/1/2014,Morgan County,7.269
1/1/2015,Morgan County,7.0
1/1/2014,Murray County,7.265
1/1/2015,Murray County,7.0
1/1/2014,Muscogee County,5.684
1/1/2015,Muscogee County,5.3
1/1/2014,Newton County,6.583
1/1/2015,Newton County,6.3
1/1/2014,Oconee County,8.82
1/1/2015,Oconee County,8.5
1/1/2014,Oglethorpe County,8.38
1/1/2015,Oglethorpe County,8.1
1/1/2014,Paulding County,8.05
1/1/2015,Paulding County,7.8
1/1/2014,Peach County,5.788
1/1/2015,Peach County,5.5
1/1/2014,Pickens County,8.529
1/1/2015,Pickens County,8.3
1/1/2014,Pierce County,7.745
1/1/2015,Pierce County,7.4
1/1/2014,Pike County,8.638
1/1/2015,Pike County,8.4
1/1/2014,Polk County,7.297
1/1/2015,Polk County,7.1
1/1/2014,Pulaski County,7.385
1/1/2015,Pulaski County,6.6
1/1/2014,Putnam County,7.759
1/1/2015,Putnam County,7.4
1/1/2014,Quitman County,4.05
1/1/2015,Quitman County,3.9
1/1/2014,Rabun County,7.946
1/1/2015,Rabun County,7.4
1/1/2014,Randolph County,6.062
1/1/2015,Randolph County,5.5
1/1/2014,Richmond County,5.192
1/1/2015,Richmond County,4.8
1/1/2014,Rockdale County,6.102
1/1/2015,Rockdale County,5.9
1/1/2014,Schley County,7.387
1/1/2015,Schley County,6.8
1/1/2014,Screven County,5.809
1/1/2015,Screven County,5.5
1/1/2014,Seminole County,6.997
1/1/2015,Seminole County,6.8
1/1/2014,Spalding County,6.256
1/1/2015,Spalding County,6.0
1/1/2014,Stephens County,7.404
1/1/2015,Stephens County,7.2
1/1/2014,Stewart County,5.869
1/1/2015,Stewart County,5.3
1/1/2014,Sumter County,5.151
1/1/2015,Sumter County,4.7
1/1/2014,Talbot County,6.64
1/1/2015,Talbot County,6.3
1/1/2014,Taliaferro County,1.599
1/1/2015,Taliaferro County,1.5
1/1/2014,Tattnall County,7.209
1/1/2015,Tattnall County,6.9
1/1/2014,Taylor County,6.012
1/1/2015,Taylor County,5.6
1/1/2014,Telfair County,5.48
1/1/2015,Telfair County,5.3
1/1/2014,Terrell County,5.981
1/1/2015,Terrell County,5.9
1/1/2014,Thomas County,5.696
1/1/2015,Thomas County,5.1
1/1/2014,Tift County,6.511
1/1/2015,Tift County,6.4
1/1/2014,Toombs County,6.224
1/1/2015,Toombs County,5.8
1/1/2014,Towns County,8.977
1/1/2015,Towns County,8.4
1/1/2014,Treutlen County,5.873
1/1/2015,Treutlen County,5.5
1/1/2014,Troup County,6.523
1/1/2015,Troup County,6.1
1/1/2014,Turner County,6.312
1/1/2015,Turner County,6.1
1/1/2014,Twiggs County,6.883
1/1/2015,Twiggs County,6.4
1/1/2014,Union County,8.737
1/1/2015,Union County,8.3
1/1/2014,Upson County,6.496
1/1/2015,Upson County,6.1
1/1/2014,Walker County,7.416
1/1/2015,Walker County,7.0
1/1/2014,Walton County,7.566
1/1/2015,Walton County,7.3
1/1/2014,Ware County,5.682
1/1/2015,Ware County,5.3
1/1/2014,Warren County,5.667
1/1/2015,Warren County,5.3
1/1/2014,Washington County,4.759
1/1/2015,Washington County,4.7
1/1/2014,Wayne County,6.208
1/1/2015,Wayne County,5.9
1/1/2014,Webster County,7.521
1/1/2015,Webster County,7.2
1/1/2014,Wheeler County,6.879
1/1/2015,Wheeler County,6.5
1/1/2014,White County,8.359
1/1/2015,White County,8.1
1/1/2014,Whitfield County,6.75
1/1/2015,Whitfield County,6.6
1/1/2014,Wilcox County,6.807
1/1/2015,Wilcox County,6.5
1/1/2014,Wilkes County,5.061
1/1/2015,Wilkes County,4.6
1/1/2014,Wilkinson County,6.446
1/1/2015,Wilkinson County,6.2
1/1/2014,Worth County,6.883
1/1/2015,Worth County,6.6
